"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/08/2024";"0000";"20,3";"21,3";"20,3";"77,0";"78,0";"74,0";"16,2";"16,7";"16,2";"970,9";"970,9";"970,1";"2,8";"129,0";"5,6";"";"0,0"
"01/08/2024";"0100";"19,6";"20,3";"19,6";"82,0";"82,0";"77,0";"16,5";"16,5";"16,1";"971,6";"971,6";"970,9";"2,9";"136,0";"5,6";"";"0,0"
"01/08/2024";"0200";"18,6";"19,6";"18,5";"89,0";"89,0";"82,0";"16,7";"16,8";"16,5";"971,5";"971,6";"971,5";"1,0";"180,0";"5,1";"";"0,0"
"01/08/2024";"0300";"18,9";"18,9";"18,5";"90,0";"90,0";"88,0";"17,2";"17,2";"16,6";"971,3";"971,6";"971,3";"2,2";"148,0";"4,5";"";"0,0"
"01/08/2024";"0400";"18,1";"19,1";"18,0";"93,0";"93,0";"90,0";"16,9";"17,3";"16,8";"970,6";"971,3";"970,6";"1,3";"159,0";"4,5";"";"0,0"
"01/08/2024";"0500";"18,4";"18,4";"18,1";"93,0";"94,0";"93,0";"17,2";"17,3";"17,0";"970,0";"970,6";"970,0";"1,1";"190,0";"3,0";"";"0,0"
"01/08/2024";"0600";"18,5";"18,5";"18,3";"93,0";"94,0";"93,0";"17,4";"17,5";"17,2";"969,8";"970,0";"969,8";"1,7";"142,0";"3,5";"";"0,0"
"01/08/2024";"0700";"18,5";"18,6";"18,5";"93,0";"94,0";"93,0";"17,4";"17,5";"17,4";"969,8";"969,9";"969,7";"1,6";"180,0";"3,9";"";"0,0"
"01/08/2024";"0800";"18,4";"18,5";"18,4";"94,0";"94,0";"93,0";"17,5";"17,5";"17,4";"969,9";"969,9";"969,7";"1,6";"166,0";"3,6";"";"0,0"
"01/08/2024";"0900";"18,4";"18,5";"18,4";"94,0";"94,0";"94,0";"17,4";"17,5";"17,4";"970,2";"970,2";"969,9";"1,8";"185,0";"4,4";"";"0,0"
"01/08/2024";"1000";"18,5";"18,5";"18,4";"94,0";"94,0";"94,0";"17,4";"17,5";"17,4";"970,7";"970,7";"970,2";"2,0";"168,0";"4,0";"72,60";"0,0"
"01/08/2024";"1100";"19,5";"19,6";"18,5";"87,0";"94,0";"87,0";"17,3";"17,7";"17,3";"971,2";"971,2";"970,7";"2,7";"171,0";"5,8";"355,40";"0,0"
"01/08/2024";"1200";"21,3";"21,7";"19,5";"79,0";"88,0";"79,0";"17,6";"18,3";"17,3";"971,9";"971,9";"971,2";"3,3";"151,0";"6,9";"890,40";"0,0"
"01/08/2024";"1300";"22,2";"22,9";"21,2";"74,0";"80,0";"73,0";"17,4";"18,5";"17,1";"971,9";"971,9";"971,8";"2,8";"159,0";"8,2";"1014,90";"0,0"
"01/08/2024";"1400";"21,1";"22,2";"20,3";"89,0";"94,0";"74,0";"19,2";"19,8";"17,4";"971,8";"972,3";"971,8";"2,6";"129,0";"10,4";"715,30";"0,4"
"01/08/2024";"1500";"25,1";"25,1";"21,1";"71,0";"91,0";"70,0";"19,5";"20,1";"18,8";"971,1";"971,8";"971,1";"3,7";"112,0";"6,9";"1314,00";"0,0"
"01/08/2024";"1600";"28,8";"28,8";"24,8";"51,0";"71,0";"51,0";"17,6";"19,1";"16,6";"969,8";"971,1";"969,8";"4,0";"112,0";"10,7";"2092,30";"0,0"
"01/08/2024";"1700";"28,9";"29,1";"26,9";"48,0";"55,0";"47,0";"16,9";"17,6";"15,6";"968,7";"969,8";"968,7";"4,4";"120,0";"10,3";"2298,40";"0,0"
"01/08/2024";"1800";"29,2";"29,6";"27,2";"42,0";"50,0";"42,0";"14,9";"17,3";"14,6";"967,9";"968,7";"967,9";"4,5";"112,0";"9,6";"2147,80";"0,0"
"01/08/2024";"1900";"28,0";"29,5";"26,6";"46,0";"50,0";"42,0";"15,4";"16,1";"13,7";"967,8";"968,0";"967,8";"4,5";"118,0";"9,3";"1236,00";"0,0"
"01/08/2024";"2000";"26,6";"28,0";"25,3";"48,0";"54,0";"45,0";"14,6";"15,7";"14,1";"968,1";"968,1";"967,9";"4,1";"119,0";"9,3";"526,70";"0,0"
"01/08/2024";"2100";"23,2";"26,6";"23,2";"62,0";"62,0";"48,0";"15,5";"15,5";"14,5";"968,6";"968,6";"968,1";"3,3";"113,0";"9,8";"114,80";"0,0"
"01/08/2024";"2200";"21,8";"23,2";"21,8";"71,0";"71,0";"62,0";"16,4";"16,4";"15,6";"969,3";"969,3";"968,6";"3,1";"103,0";"7,8";"";"0,0"
"01/08/2024";"2300";"20,6";"21,8";"20,5";"79,0";"79,0";"71,0";"16,8";"16,8";"16,4";"969,9";"969,9";"969,3";"2,7";"106,0";"5,3";"";"0,0"
"02/08/2024";"0000";"19,3";"20,5";"19,3";"85,0";"85,0";"79,0";"16,8";"17,0";"16,7";"970,5";"970,5";"969,9";"1,6";"124,0";"5,3";"";"0,0"
"02/08/2024";"0100";"19,7";"19,7";"19,1";"90,0";"90,0";"86,0";"17,9";"17,9";"16,8";"970,7";"970,8";"970,5";"2,1";"127,0";"4,0";"";"0,0"
"02/08/2024";"0200";"20,4";"20,6";"19,7";"87,0";"90,0";"86,0";"18,3";"18,3";"17,9";"970,7";"970,8";"970,7";"2,1";"153,0";"7,8";"";"0,0"
"02/08/2024";"0300";"20,1";"20,4";"20,1";"84,0";"88,0";"84,0";"17,4";"18,3";"17,3";"970,5";"970,7";"970,5";"1,5";"149,0";"4,8";"";"0,0"
"02/08/2024";"0400";"19,2";"20,2";"19,2";"93,0";"93,0";"84,0";"18,1";"18,1";"17,4";"970,0";"970,5";"970,0";"1,4";"150,0";"6,8";"";"0,0"
"02/08/2024";"0500";"19,1";"19,2";"19,1";"95,0";"95,0";"93,0";"18,2";"18,3";"18,1";"969,5";"970,0";"969,5";"1,7";"153,0";"3,4";"";"0,0"
"02/08/2024";"0600";"19,3";"19,3";"19,1";"97,0";"97,0";"95,0";"18,8";"18,8";"18,2";"968,9";"969,5";"968,9";"2,1";"145,0";"4,9";"";"0,0"
"02/08/2024";"0700";"19,0";"19,3";"19,0";"";"";"";"";"";"";"968,9";"969,0";"968,8";"2,1";"143,0";"8,3";"";"0,4"
"02/08/2024";"0800";"19,1";"19,1";"19,0";"";"";"";"";"";"";"969,0";"969,0";"968,9";"2,3";"156,0";"6,0";"";"0,2"
"02/08/2024";"0900";"19,0";"19,1";"18,9";"";"";"";"";"";"";"969,3";"969,4";"969,0";"2,2";"151,0";"7,2";"";"0,2"
"02/08/2024";"1000";"19,3";"19,3";"18,9";"";"";"";"";"";"";"969,8";"969,8";"969,3";"2,5";"119,0";"6,3";"33,40";"0,6"
"02/08/2024";"1100";"20,1";"20,4";"19,2";"";"";"";"";"";"";"970,4";"970,4";"969,9";"2,7";"141,0";"5,9";"408,00";"0,2"
"02/08/2024";"1200";"23,2";"23,4";"20,1";"82,0";"100,0";"82,0";"20,0";"21,1";"19,1";"970,9";"970,9";"970,4";"3,2";"124,0";"7,5";"984,20";"0,0"
"02/08/2024";"1300";"22,8";"23,8";"21,9";"75,0";"84,0";"71,0";"18,0";"19,7";"17,4";"971,1";"971,1";"970,9";"4,7";"135,0";"10,3";"1269,00";"0,0"
"02/08/2024";"1400";"25,0";"26,1";"22,7";"63,0";"76,0";"62,0";"17,5";"19,7";"17,1";"970,3";"971,1";"970,3";"5,0";"129,0";"10,8";"1539,90";"0,0"
"02/08/2024";"1500";"26,8";"29,1";"25,0";"49,0";"64,0";"45,0";"15,1";"18,6";"14,6";"969,5";"970,3";"969,5";"5,2";"115,0";"10,8";"2727,60";"0,0"
"02/08/2024";"1600";"28,4";"30,0";"26,8";"39,0";"49,0";"35,0";"13,1";"16,6";"11,7";"968,7";"969,5";"968,7";"6,5";"110,0";"10,8";"2920,90";"0,0"
"02/08/2024";"1700";"28,6";"30,2";"28,1";"40,0";"42,0";"36,0";"13,9";"14,6";"11,9";"967,9";"968,7";"967,9";"5,8";"111,0";"11,8";"2918,60";"0,0"
"02/08/2024";"1800";"29,0";"30,1";"27,3";"42,0";"45,0";"38,0";"14,9";"15,6";"13,2";"967,3";"967,9";"967,3";"5,5";"95,0";"11,8";"2078,50";"0,0"
"02/08/2024";"1900";"28,1";"29,3";"26,7";"47,0";"49,0";"42,0";"15,6";"16,1";"14,5";"967,4";"967,5";"967,2";"6,0";"112,0";"12,6";"1395,10";"0,0"
"02/08/2024";"2000";"24,3";"28,1";"24,3";"59,0";"65,0";"47,0";"15,8";"18,3";"15,4";"967,9";"968,0";"967,4";"5,4";"97,0";"13,3";"653,10";"0,0"
"02/08/2024";"2100";"22,0";"24,6";"22,0";"70,0";"70,0";"58,0";"16,3";"16,3";"15,8";"968,4";"968,4";"967,9";"3,7";"116,0";"10,3";"124,90";"0,0"
"02/08/2024";"2200";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/08/2024";"2300";"21,4";"22,1";"21,1";"78,0";"80,0";"74,0";"17,5";"17,6";"17,2";"969,3";"969,3";"968,7";"4,0";"124,0";"9,2";"";"0,0"
"03/08/2024";"0000";"21,1";"21,5";"21,0";"83,0";"83,0";"78,0";"18,1";"18,1";"17,4";"970,0";"970,0";"969,3";"3,8";"124,0";"10,4";"";"0,0"
"03/08/2024";"0100";"20,0";"21,1";"19,9";"92,0";"93,0";"83,0";"18,8";"18,8";"18,1";"970,3";"970,3";"970,0";"2,8";"137,0";"7,6";"";"0,0"
"03/08/2024";"0200";"20,1";"20,1";"20,0";"94,0";"94,0";"92,0";"19,0";"19,0";"18,8";"970,3";"970,5";"970,3";"2,0";"134,0";"5,0";"";"0,0"
"03/08/2024";"0300";"19,8";"20,1";"19,8";"100,0";"100,0";"94,0";"19,8";"19,8";"19,0";"970,2";"970,4";"970,2";"1,9";"139,0";"4,7";"";"0,0"
"03/08/2024";"0400";"19,6";"19,9";"19,5";"";"";"";"";"";"";"969,7";"970,2";"969,7";"3,0";"132,0";"6,6";"";"1,8"
"03/08/2024";"0500";"19,3";"19,6";"19,3";"";"";"";"";"";"";"969,2";"969,7";"969,2";"3,4";"119,0";"7,9";"";"0,2"
"03/08/2024";"0600";"19,2";"19,3";"19,1";"";"";"";"";"";"";"968,6";"969,2";"968,6";"2,6";"141,0";"7,0";"";"0,4"
"03/08/2024";"0700";"19,1";"19,3";"19,1";"";"";"";"";"";"";"968,6";"968,6";"968,5";"3,4";"124,0";"6,9";"";"2,4"
"03/08/2024";"0800";"19,1";"19,2";"19,0";"";"";"";"";"";"";"968,8";"968,8";"968,6";"2,6";"135,0";"6,8";"";"0,0"
